iter	Passed	Remaining
0	0	68
1	1	64
2	1	62
3	2	56
4	3	58
5	3	59
6	4	59
7	5	64
8	6	63
9	6	61
10	7	60
11	8	59
12	8	58
13	9	56
14	9	56
15	10	54
16	11	54
17	11	52
18	12	51
19	12	51
20	13	51
21	14	50
22	15	50
23	15	49
24	16	48
25	16	48
26	17	47
27	18	46
28	18	45
29	19	44
30	20	46
31	21	45
32	22	45
33	23	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	41
39	27	40
40	27	39
41	28	38
42	28	38
43	29	37
44	30	37
45	31	36
46	32	37
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
